rank,year,title,page,tconst,worldwide
1,2022,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,tt1745960,"$1,486,657,763"
2,2022,Jurassic World: Dominion,https://www.imdb.com/title/tt8041270/,tt8041270,"$1,001,136,080"
3,2022,Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/,tt9419884,"$955,775,804"
4,2022,Minions: The Rise of Gru,https://www.imdb.com/title/tt5113044/,tt5113044,"$939,220,210"
5,2022,The Batman,https://www.imdb.com/title/tt1877830/,tt1877830,"$770,836,163"
6,2022,Thor: Love and Thunder,https://www.imdb.com/title/tt10648342/,tt10648342,"$760,928,081"
7,2022,Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/,tt9114286,"$678,244,647"
8,2022,Water Gate Bridge,https://www.imdb.com/title/tt16194408/,tt16194408,"$626,571,697"
9,2022,Fantastic Beasts: The Secrets of Dumbledore,https://www.imdb.com/title/tt4123432/,tt4123432,"$405,161,334"
10,2022,Sonic the Hedgehog 2,https://www.imdb.com/title/tt12412888/,tt12412888,"$402,656,846"
11,2022,Uncharted,https://www.imdb.com/title/tt1464335/,tt1464335,"$401,748,820"
12,2022,Black Adam,https://www.imdb.com/title/tt6443346/,tt6443346,"$377,901,725"
13,2022,Elvis,https://www.imdb.com/title/tt3704428/,tt3704428,"$286,040,048"
14,2022,The Bad Guys,https://www.imdb.com/title/tt8115900/,tt8115900,"$250,162,278"
15,2022,Bullet Train,https://www.imdb.com/title/tt12593682/,tt12593682,"$239,268,602"
16,2022,Lightyear,https://www.imdb.com/title/tt10298810/,tt10298810,"$226,425,420"
17,2022,Too Cool to Kill,https://www.imdb.com/title/tt16254308/,tt16254308,"$217,254,604"
18,2022,Smile,https://www.imdb.com/title/tt15474916/,tt15474916,"$215,697,888"
19,2022,Nice View,https://www.imdb.com/title/tt15783462/,tt15783462,"$211,019,042"
20,2022,DC League of Super-Pets,https://www.imdb.com/title/tt8912936/,tt8912936,"$203,856,409"
21,2022,The Lost City,https://www.imdb.com/title/tt13320622/,tt13320622,"$190,844,029"
22,2022,Nope,https://www.imdb.com/title/tt10954984/,tt10954984,"$171,235,592"
23,2022,Morbius,https://www.imdb.com/title/tt5108870/,tt5108870,"$167,460,961"
24,2022,One Piece Film: Red,https://www.imdb.com/title/tt16183464/,tt16183464,"$164,824,212"
25,2022,Ticket to Paradise,https://www.imdb.com/title/tt14109724/,tt14109724,"$162,474,955"
26,2022,The Black Phone,https://www.imdb.com/title/tt7144666/,tt7144666,"$161,204,742"
27,2022,Where the Crawdads Sing,https://www.imdb.com/title/tt9411972/,tt9411972,"$140,230,760"
28,2022,Scream,https://www.imdb.com/title/tt11245972/,tt11245972,"$140,041,405"
29,2022,Death on the Nile,https://www.imdb.com/title/tt7657566/,tt7657566,"$137,307,235"
30,2022,Halloween Ends,https://www.imdb.com/title/tt10665342/,tt10665342,"$104,186,860"
31,2022,Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,tt6710474,"$103,365,863"
32,2022,RRR,https://www.imdb.com/title/tt8178634/,tt8178634,"$102,166,248"
33,2022,The Roundup,https://www.imdb.com/title/tt15838850/,tt15838850,"$101,146,507"
34,2022,Downton Abbey: A New Era,https://www.imdb.com/title/tt11703710/,tt11703710,"$92,235,293"
35,2022,The Woman King,https://www.imdb.com/title/tt8093700/,tt8093700,"$92,113,563"
36,2022,K.G.F: Chapter 2,https://www.imdb.com/title/tt10698680/,tt10698680,"$89,123,940"
37,2022,Don't Worry Darling,https://www.imdb.com/title/tt10731256/,tt10731256,"$86,708,007"
38,2022,Dragon Ball Super: Super Hero,https://www.imdb.com/title/tt14614892/,tt14614892,"$86,562,140"
39,2022,Dog,https://www.imdb.com/title/tt11252248/,tt11252248,"$84,774,243"
40,2022,"Lyle, Lyle, Crocodile",https://www.imdb.com/title/tt14668630/,tt14668630,"$82,354,892"
41,2022,Jackass Forever,https://www.imdb.com/title/tt11466222/,tt11466222,"$80,483,723"
42,2022,Avatar 2022  Re-release,https://www.imdb.com/title/tt0499549/,tt0499549,"$75,520,575"
43,2022,Detective Conan: The Bride of Halloween,https://www.imdb.com/title/tt19770970/,tt19770970,"$72,653,401"
44,2022,The Northman,https://www.imdb.com/title/tt11138512/,tt11138512,"$69,633,110"
45,2022,Moonfall,https://www.imdb.com/title/tt5834426/,tt5834426,"$66,810,256"
46,2022,Spider-Man: No Way Home 2022 Re-release,https://www.imdb.com/title/tt10872600/,tt10872600,"$64,746,368"
47,2022,Beast,https://www.imdb.com/title/tt13223398/,tt13223398,"$59,095,809"
48,2022,Confidential Assignment 2: International,https://www.imdb.com/title/tt21867370/,tt21867370,"$54,451,354"
49,2022,Ambulance,https://www.imdb.com/title/tt4998632/,tt4998632,"$51,827,870"
50,2022,Marry Me,https://www.imdb.com/title/tt10223460/,tt10223460,"$50,454,617"
51,2022,Brahmastra Part One: Shiva,https://www.imdb.com/title/tt6277462/,tt6277462,"$50,164,785"
52,2022,Barbarian,https://www.imdb.com/title/tt15791034/,tt15791034,"$45,293,440"
53,2022,Suzume no tojimari,https://www.imdb.com/title/tt16428256/,tt16428256,"$45,041,427"
54,2022,Paws of Fury: The Legend of Hank,https://www.imdb.com/title/tt4428398/,tt4428398,"$41,111,047"
55,2022,Prey for the Devil,https://www.imdb.com/title/tt9271672/,tt9271672,"$38,111,256"
56,2022,Orphan: First Kill,https://www.imdb.com/title/tt11851548/,tt11851548,"$37,083,743"
57,2022,Kingdom II: Harukanaru Daichi e,https://www.imdb.com/title/tt12415670/,tt12415670,"$34,963,395"
58,2022,The Menu,https://www.imdb.com/title/tt9764362/,tt9764362,"$34,475,947"
59,2022,The Bob's Burgers Movie,https://www.imdb.com/title/tt7466442/,tt7466442,"$34,148,750"
60,2022,Hunt,https://www.imdb.com/title/tt6931658/,tt6931658,"$33,719,883"
61,2022,The Invitation,https://www.imdb.com/title/tt12873562/,tt12873562,"$33,700,080"
62,2022,BTS Permission to Dance on Stage - Seoul: Live Viewing,https://www.imdb.com/title/tt18687124/,tt18687124,"$32,600,000"
63,2022,Shin Ultraman,https://www.imdb.com/title/tt10737918/,tt10737918,"$31,523,533"
64,2022,Amsterdam,https://www.imdb.com/title/tt10304142/,tt10304142,"$30,996,976"
65,2022,Joker 2022 Re-release,https://www.imdb.com/title/tt7286456/,tt7286456,"$30,497,883"
66,2022,Tad the Lost Explorer and the Emerald Tablet,https://www.imdb.com/title/tt14941698/,tt14941698,"$30,367,599"
67,2022,Vikram,https://www.imdb.com/title/tt9179430/,tt9179430,"$29,837,637"
68,2022,The Unbearable Weight of Massive Talent,https://www.imdb.com/title/tt11291274/,tt11291274,"$29,116,320"
69,2022,Strange World,https://www.imdb.com/title/tt10298840/,tt10298840,"$28,711,976"
70,2022,The 355,https://www.imdb.com/title/tt8356942/,tt8356942,"$27,826,792"
71,2022,Mrs. Harris Goes to Paris,https://www.imdb.com/title/tt5151570/,tt5151570,"$27,190,915"
72,2022,Serial (Bad) Weddings 3,https://www.imdb.com/title/tt10405142/,tt10405142,"$26,951,351"
73,2022,The Kashmir Files,https://www.imdb.com/title/tt10811166/,tt10811166,"$24,821,898"
74,2022,The Confidence Man JP: Episode of the Hero,https://www.imdb.com/title/tt17008472/,tt17008472,"$23,214,581"
75,2022,The Witch: Part 2 - The Other One,https://www.imdb.com/title/tt13721828/,tt13721828,"$23,068,596"
76,2022,The Last 10 Years,https://www.imdb.com/title/tt16444750/,tt16444750,"$22,539,146"
77,2022,Harry Potter and the Chamber of Secrets 2021 Re-release,https://www.imdb.com/title/tt0295297/,tt0295297,"$22,349,685"
78,2022,6/45,https://www.imdb.com/title/tt21800888/,tt21800888,"$22,263,336"
79,2022,Doraemon the Movie: Nobita's Little Star Wars 2021,https://www.imdb.com/title/tt13740078/,tt13740078,"$22,044,058"
80,2022,See How They Run,https://www.imdb.com/title/tt13640696/,tt13640696,"$21,921,551"
81,2022,Ponniyin Selvan: Part I,https://www.imdb.com/title/tt10701074/,tt10701074,"$21,876,105"
82,2022,Silent Parade,https://www.imdb.com/title/tt21608894/,tt21608894,"$21,717,636"
83,2022,Father Stu,https://www.imdb.com/title/tt14439896/,tt14439896,"$21,592,379"
84,2022,Decision to Leave,https://www.imdb.com/title/tt12477480/,tt12477480,"$20,962,050"
85,2022,Emergency Declaration,https://www.imdb.com/title/tt11535228/,tt11535228,"$20,862,730"
86,2022,Turning Red,https://www.imdb.com/title/tt8097030/,tt8097030,"$20,122,621"
87,2022,After Ever Happy,https://www.imdb.com/title/tt13070038/,tt13070038,"$19,151,524"
88,2022,Three Thousand Years of Longing,https://www.imdb.com/title/tt9198364/,tt9198364,"$19,145,896"
89,2022,Beast,https://www.imdb.com/title/tt11301946/,tt11301946,"$18,911,959"
90,2022,Godfather,https://www.imdb.com/title/tt13130308/,tt13130308,"$18,737,287"
